seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file,ccr_idr_rel_gap_pct,scenario_match,base_heft_makespan,base_heft_vcpus,base_dheft_makespan,base_dheft_vcpus,base_nheft_makespan,base_nheft_vcpus,base_nheft_hosts,base_nheft_instances,makespan_delta_vs_base,makespan_change_vs_base_pct,vcpu_delta_vs_base,vcpu_reduction_vs_base_pct,gain_nheft_over_dheft_pct,nheft_win_over_dheft,makespan_not_worse_than_base,vcpu_not_more_than_base,vcpu_strictly_reduced
430515,baseline,NHEFT,1,0.0,0,0,0,0.0637,0.0821,0.1458,71.53829999999994,1.7664,19,4,205,468,468,0,40.9054,1.01,42,8,322,117,42,75,40.70989490957803,1.0052,57,10,342,167,142,25,5.787098,0,ok,logs/seed_430515.log,25.240054869684496,True,71.53829999999994,19,40.9054,42,40.70989490957803,57,10,342,0.0,0.0,0,0.0,0.4779444533532675,True,True,True,False
430515,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0637,0.0821,0.1458,71.53829999999994,1.7664,19,4,205,468,468,0,40.9054,1.01,42,8,322,117,42,75,40.70989490957803,1.0052,42,8,334,155,130,25,5.787098,0,ok,logs/seed_430515.log,25.240054869684496,True,71.53829999999994,19,40.9054,42,40.70989490957803,57,10,342,0.0,0.0,-15,26.31578947368421,0.4779444533532675,True,True,True,True
914983,baseline,NHEFT,1,0.0,0,0,0,0.0721,0.0933,0.1654,85.29650000000001,2.3881,14,3,159,446,446,0,38.9719,1.0911,43,9,319,129,41,88,36.65688399246705,1.0263,53,12,323,160,123,37,5.858456,0,ok,logs/seed_914983.log,25.634824667472788,True,85.29650000000001,14,38.9719,43,36.65688399246705,53,12,323,0.0,0.0,0,0.0,5.940218484428388,True,True,True,False
914983,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0721,0.0933,0.1654,85.29650000000001,2.3881,14,3,159,446,446,0,38.9719,1.0911,43,9,319,129,41,88,36.65688399246705,1.0263,46,9,312,160,119,41,5.858456,0,ok,logs/seed_914983.log,25.634824667472788,True,85.29650000000001,14,38.9719,43,36.65688399246705,53,12,323,0.0,0.0,-7,13.20754716981132,5.940218484428388,True,True,True,True
664527,baseline,NHEFT,1,0.0,0,0,0,0.0629,0.0934,0.1563,127.9332999999999,3.1082,9,2,142,485,485,0,44.858900000000006,1.0899,42,8,346,104,45,59,43.85654763256606,1.0655,56,13,335,154,120,34,8.788528,0,ok,logs/seed_664527.log,39.027511196417144,True,127.9332999999999,9,44.858900000000006,42,43.85654763256606,56,13,335,0.0,0.0,0,0.0,2.2344559662273102,True,True,True,False
664527,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0629,0.0934,0.1563,127.9332999999999,3.1082,9,2,142,485,485,0,44.858900000000006,1.0899,42,8,346,104,45,59,44.53049999999999,1.0819,43,9,339,132,113,19,8.788528,0,ok,logs/seed_664527.log,39.027511196417144,True,127.9332999999999,9,44.858900000000006,42,43.85654763256606,56,13,335,0.6739523674339267,1.5367200653374675,-13,23.214285714285715,0.7320732340739879,True,False,True,True
215549,baseline,NHEFT,1,0.0,0,0,0,0.0624,0.0833,0.1457,90.82090000000014,2.5702,13,2,167,465,465,0,36.788999999999994,1.0411,49,9,322,137,57,80,35.851363300373336,1.0146,55,12,338,156,125,31,5.871189,0,ok,logs/seed_215549.log,28.689087165408377,True,90.82090000000014,13,36.788999999999994,49,35.851363300373336,55,12,338,0.0,0.0,0,0.0,2.5486876501852684,True,True,True,False
215549,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0624,0.0833,0.1457,90.82090000000014,2.5702,13,2,167,465,465,0,36.788999999999994,1.0411,49,9,322,137,57,80,91.67782968388585,2.5944,7,2,138,45,45,0,5.871189,0,ok,logs/seed_215549.log,28.689087165408377,True,90.82090000000014,13,36.788999999999994,49,35.851363300373336,55,12,338,55.82646638351251,155.71643933253486,-48,87.27272727272727,-149.19902602377303,False,False,True,True
370191,baseline,NHEFT,1,0.0,0,0,0,0.0594,0.0811,0.1405,101.9408000000002,2.8785,12,3,152,469,469,0,35.624599999999994,1.0059,39,7,323,108,37,71,35.68539815668203,1.0077,55,9,332,132,104,28,8.337441,0,ok,logs/seed_370191.log,30.889679715302492,True,101.9408000000002,12,35.624599999999994,39,35.68539815668203,55,9,332,0.0,0.0,0,0.0,-0.17066340866152271,False,True,True,False
370191,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0594,0.0811,0.1405,101.9408000000002,2.8785,12,3,152,469,469,0,35.624599999999994,1.0059,39,7,323,108,37,71,36.01202306704894,1.0169,45,7,327,123,103,20,8.337441,0,ok,logs/seed_370191.log,30.889679715302492,True,101.9408000000002,12,35.624599999999994,39,35.68539815668203,55,9,332,0.32662491036691677,0.9152900828871846,-10,18.181818181818183,-1.0875155568033035,False,False,True,True
