seed,is_complete,completed_variant_count,expected_variant_count,completed_variants,missing_variants,extra_variants
1087,True,2,2,"baseline,comp_advantage",,
2010,True,2,2,"baseline,comp_advantage",,
3899,True,2,2,"baseline,comp_advantage",,
4410,True,2,2,"baseline,comp_advantage",,
5641,True,2,2,"baseline,comp_advantage",,
6027,True,2,2,"baseline,comp_advantage",,
10602,True,2,2,"baseline,comp_advantage",,
14714,True,2,2,"baseline,comp_advantage",,
15262,True,2,2,"baseline,comp_advantage",,
20773,True,2,2,"baseline,comp_advantage",,
21327,True,2,2,"baseline,comp_advantage",,
23329,True,2,2,"baseline,comp_advantage",,
27243,True,2,2,"baseline,comp_advantage",,
28388,True,2,2,"baseline,comp_advantage",,
29523,True,2,2,"baseline,comp_advantage",,
33347,True,2,2,"baseline,comp_advantage",,
35721,True,2,2,"baseline,comp_advantage",,
47925,True,2,2,"baseline,comp_advantage",,
48268,True,2,2,"baseline,comp_advantage",,
50264,True,2,2,"baseline,comp_advantage",,
50984,True,2,2,"baseline,comp_advantage",,
53408,True,2,2,"baseline,comp_advantage",,
57519,True,2,2,"baseline,comp_advantage",,
60194,True,2,2,"baseline,comp_advantage",,
60220,True,2,2,"baseline,comp_advantage",,
61677,True,2,2,"baseline,comp_advantage",,
64745,True,2,2,"baseline,comp_advantage",,
65523,True,2,2,"baseline,comp_advantage",,
65843,True,2,2,"baseline,comp_advantage",,
69527,True,2,2,"baseline,comp_advantage",,
70327,True,2,2,"baseline,comp_advantage",,
70730,True,2,2,"baseline,comp_advantage",,
72146,True,2,2,"baseline,comp_advantage",,
72402,True,2,2,"baseline,comp_advantage",,
78435,True,2,2,"baseline,comp_advantage",,
79088,True,2,2,"baseline,comp_advantage",,
80721,True,2,2,"baseline,comp_advantage",,
81222,True,2,2,"baseline,comp_advantage",,
81911,True,2,2,"baseline,comp_advantage",,
91728,True,2,2,"baseline,comp_advantage",,
108225,True,2,2,"baseline,comp_advantage",,
108511,True,2,2,"baseline,comp_advantage",,
108594,True,2,2,"baseline,comp_advantage",,
109654,True,2,2,"baseline,comp_advantage",,
110055,True,2,2,"baseline,comp_advantage",,
110116,True,2,2,"baseline,comp_advantage",,
110682,True,2,2,"baseline,comp_advantage",,
112316,True,2,2,"baseline,comp_advantage",,
113260,True,2,2,"baseline,comp_advantage",,
115403,True,2,2,"baseline,comp_advantage",,
116436,True,2,2,"baseline,comp_advantage",,
117059,True,2,2,"baseline,comp_advantage",,
117791,True,2,2,"baseline,comp_advantage",,
122745,True,2,2,"baseline,comp_advantage",,
124685,True,2,2,"baseline,comp_advantage",,
127154,True,2,2,"baseline,comp_advantage",,
131782,True,2,2,"baseline,comp_advantage",,
137602,True,2,2,"baseline,comp_advantage",,
137693,True,2,2,"baseline,comp_advantage",,
137836,True,2,2,"baseline,comp_advantage",,
138451,True,2,2,"baseline,comp_advantage",,
140763,True,2,2,"baseline,comp_advantage",,
141574,True,2,2,"baseline,comp_advantage",,
143022,True,2,2,"baseline,comp_advantage",,
144274,True,2,2,"baseline,comp_advantage",,
145299,True,2,2,"baseline,comp_advantage",,
146585,True,2,2,"baseline,comp_advantage",,
147537,True,2,2,"baseline,comp_advantage",,
149047,True,2,2,"baseline,comp_advantage",,
151000,True,2,2,"baseline,comp_advantage",,
153349,True,2,2,"baseline,comp_advantage",,
159109,True,2,2,"baseline,comp_advantage",,
162375,True,2,2,"baseline,comp_advantage",,
174052,True,2,2,"baseline,comp_advantage",,
174431,True,2,2,"baseline,comp_advantage",,
176967,True,2,2,"baseline,comp_advantage",,
179329,True,2,2,"baseline,comp_advantage",,
179499,True,2,2,"baseline,comp_advantage",,
181404,True,2,2,"baseline,comp_advantage",,
184906,True,2,2,"baseline,comp_advantage",,
185527,True,2,2,"baseline,comp_advantage",,
189090,True,2,2,"baseline,comp_advantage",,
193272,True,2,2,"baseline,comp_advantage",,
194493,True,2,2,"baseline,comp_advantage",,
