seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file,ccr_idr_rel_gap_pct,scenario_match,base_heft_makespan,base_heft_vcpus,base_dheft_makespan,base_dheft_vcpus,base_nheft_makespan,base_nheft_vcpus,base_nheft_hosts,base_nheft_instances,makespan_delta_vs_base,makespan_change_vs_base_pct,vcpu_delta_vs_base,vcpu_reduction_vs_base_pct,gain_nheft_over_dheft_pct,nheft_win_over_dheft,makespan_not_worse_than_base,vcpu_not_more_than_base,vcpu_strictly_reduced
741896,baseline,NHEFT,1,0.0,0,0,0,0.088,0.0554,0.1434,67.1592999999999,2.062,16,3,190,442,442,0,33.4501,1.027,44,10,314,116,37,79,32.685689381933436,1.0036,58,12,337,156,115,41,5.955398,0,ok,logs/seed_741896.log,45.46722454672245,True,67.1592999999999,16,33.4501,44,32.685689381933436,58,12,337,0.0,0.0,0,0.0,2.2852267050518926,True,True,True,False
741896,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.088,0.0554,0.1434,67.1592999999999,2.062,16,3,190,442,442,0,33.4501,1.027,44,10,314,116,37,79,35.61148938193344,1.0934,44,11,325,146,106,40,5.955398,0,ok,logs/seed_741896.log,45.46722454672245,True,67.1592999999999,16,33.4501,44,32.685689381933436,58,12,337,2.9258000000000024,8.95131800896694,-14,24.137931034482758,-6.461533394320015,False,False,True,True
430515,baseline,NHEFT,1,0.0,0,0,0,0.0844,0.0595,0.1439,54.989099999999965,1.3596,21,5,261,468,468,0,40.9538,1.0126,38,8,325,117,41,76,40.81275425318152,1.0091,58,10,337,170,150,20,6.034168,0,ok,logs/seed_430515.log,34.60736622654622,True,54.989099999999965,21,40.9538,38,40.81275425318152,58,10,337,0.0,0.0,0,0.0,0.34440209899565966,True,True,True,False
430515,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0844,0.0595,0.1439,54.989099999999965,1.3596,21,5,261,468,468,0,40.9538,1.0126,38,8,325,117,41,76,40.81275425318152,1.0091,42,8,332,158,133,25,6.034168,0,ok,logs/seed_430515.log,34.60736622654622,True,54.989099999999965,21,40.9538,38,40.81275425318152,58,10,337,0.0,0.0,-16,27.586206896551722,0.34440209899565966,True,True,True,True
888075,baseline,NHEFT,1,0.0,0,0,0,0.0842,0.0509,0.1351,61.61090000000006,1.583,25,6,252,471,471,0,40.98660000000001,1.0531,45,11,344,151,42,109,39.635842694284555,1.0184,62,15,360,192,150,42,6.671041,0,ok,logs/seed_888075.log,49.296817172464834,True,61.61090000000006,25,40.98660000000001,45,39.635842694284555,62,15,360,0.0,0.0,0,0.0,3.2956071148020434,True,True,True,False
888075,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0842,0.0509,0.1351,61.61090000000006,1.583,25,6,252,471,471,0,40.98660000000001,1.0531,45,11,344,151,42,109,40.54198803703704,1.0417,56,14,354,187,147,40,6.671041,0,ok,logs/seed_888075.log,49.296817172464834,True,61.61090000000006,25,40.98660000000001,45,39.635842694284555,62,15,360,0.906145342752481,2.2861765542407557,-6,9.67741935483871,1.0847739577397815,True,False,True,True
914983,baseline,NHEFT,1,0.0,0,0,0,0.0956,0.0676,0.1632,62.41429999999986,1.7475,19,4,205,446,446,0,36.53530000000001,1.0229,42,9,310,129,40,89,36.58938386252355,1.0244,53,11,324,165,127,38,6.121783,0,ok,logs/seed_914983.log,34.31372549019609,True,62.41429999999986,19,36.53530000000001,42,36.58938386252355,53,11,324,0.0,0.0,0,0.0,-0.1480318008160352,False,True,True,False
914983,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.0956,0.0676,0.1632,62.41429999999986,1.7475,19,4,205,446,446,0,36.53530000000001,1.0229,42,9,310,129,40,89,36.58938386252355,1.0244,49,9,323,168,137,31,6.121783,0,ok,logs/seed_914983.log,34.31372549019609,True,62.41429999999986,19,36.53530000000001,42,36.58938386252355,53,11,324,0.0,0.0,-4,7.547169811320755,-0.1480318008160352,False,True,True,True
997971,baseline,NHEFT,1,0.0,0,0,0,0.085,0.0492,0.1342,61.30109999999999,2.0603,19,4,228,478,478,0,34.89860000000001,1.1729,43,10,340,126,44,82,35.64416325425951,1.198,57,12,350,173,131,42,7.415143,0,ok,logs/seed_997971.log,53.35320417287631,True,61.30109999999999,19,34.89860000000001,43,35.64416325425951,57,12,350,0.0,0.0,0,0.0,-2.136370095819033,False,True,True,False
997971,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,0.085,0.0492,0.1342,61.30109999999999,2.0603,19,4,228,478,478,0,34.89860000000001,1.1729,43,10,340,126,44,82,35.36049230144168,1.1885,54,11,338,173,142,31,7.415143,0,ok,logs/seed_997971.log,53.35320417287631,True,61.30109999999999,19,34.89860000000001,43,35.64416325425951,57,12,350,-0.28367095281782895,-0.795841245575964,-3,5.263157894736842,-1.3235267358623903,False,True,True,True
747642,baseline,NHEFT,1,0.0,0,0,0,0.0749,0.0449,0.1198,55.81310000000009,1.2619,28,6,262,466,466,0,44.289100000000005,1.0014,38,10,306,148,40,108,44.28905283194058,1.0014,54,12,328,190,153,37,6.15626,0,ok,logs/seed_747642.log,50.08347245409014,True,55.81310000000009,28,44.289100000000005,38,44.28905283194058,54,12,328,0.0,0.0,0,0.0,0.00010650037915538402,True,True,True,False
