seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,1.4765,0.8947,2.3712,609.5680999999994,18.7156,5,3,52,442,442,0,101.0229,3.1017,46,12,278,128,45,83,60.771263968668414,1.8659,45,11,312,172,98,74,5.684357,0,ok,logs/seed_741896.log
741896,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4765,0.8947,2.3712,609.5680999999994,18.7156,5,3,52,442,442,0,101.0229,3.1017,46,12,278,128,45,83,75.77476916299558,2.3265,21,8,243,130,82,48,5.684357,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,1.4098,0.942,2.3518,483.1534999999991,12.0561,5,2,55,468,468,0,92.72750000000003,2.3138,34,8,255,110,50,60,68.65464615384616,1.7131,37,9,280,136,87,49,6.455599,0,ok,logs/seed_430515.log
430515,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4098,0.942,2.3518,483.1534999999991,12.0561,5,2,55,468,468,0,92.72750000000003,2.3138,34,8,255,110,50,60,83.8142324474213,2.0914,20,6,265,109,77,32,6.455599,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,1.4047,0.8285,2.2332,433.86869999999874,11.1476,6,3,71,471,471,0,87.39059999999999,2.2454,36,8,278,128,56,72,69.98933752605976,1.7983,47,12,337,192,128,64,7.812124,0,ok,logs/seed_888075.log
888075,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4047,0.8285,2.2332,433.86869999999874,11.1476,6,3,71,471,471,0,87.39059999999999,2.2454,36,8,278,128,56,72,73.8244882180451,1.8968,34,10,306,152,101,51,7.812124,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,1.5992,1.075,2.6742,642.8780000000012,18.0828,3,2,42,446,446,0,109.2155,3.072,26,8,188,75,45,30,71.76677196774193,2.0186,36,10,277,122,82,40,6.256312,0,ok,logs/seed_914983.log
914983,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.5992,1.075,2.6742,642.8780000000012,18.0828,3,2,42,446,446,0,109.2155,3.072,26,8,188,75,45,30,92.78374048857646,2.6098,15,4,205,70,51,19,6.256312,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,1.4175,0.7888,2.2063,421.9915999999997,14.3078,7,3,67,478,478,0,80.90920000000001,2.7433,32,9,279,102,51,51,72.4440330384618,2.4562,45,12,313,147,102,45,7.893268,0,ok,logs/seed_997971.log
997971,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4175,0.7888,2.2063,421.9915999999997,14.3078,7,3,67,478,478,0,80.90920000000001,2.7433,32,9,279,102,51,51,62.41482761888313,2.1162,30,8,297,127,87,40,7.893268,0,ok,logs/seed_997971.log
747642,baseline,NHEFT,1,0.0,0,0,0,1.247,0.7359,1.9829,640.2597000000013,14.4762,5,3,44,466,466,0,98.06349999999999,2.2172,43,11,264,129,55,74,68.75035339805825,1.5544,38,10,289,132,86,46,6.725149,0,ok,logs/seed_747642.log
747642,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.247,0.7359,1.9829,640.2597000000013,14.4762,5,3,44,466,466,0,98.06349999999999,2.2172,43,11,264,129,55,74,92.57793730547816,2.0932,12,3,193,63,48,15,6.725149,0,ok,logs/seed_747642.log
664527,baseline,NHEFT,1,0.0,0,0,0,1.3934,1.0713,2.4647,533.5629000000005,12.9761,8,4,78,485,485,0,109.02020000000002,2.6513,43,9,272,129,52,77,73.70902613458527,1.7926,42,10,313,151,100,51,11.168545,0,ok,logs/seed_664527.log
664527,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.3934,1.0713,2.4647,533.5629000000005,12.9761,8,4,78,485,485,0,109.02020000000002,2.6513,43,9,272,129,52,77,72.87695103476057,1.7724,31,9,294,150,101,49,11.168545,0,ok,logs/seed_664527.log
760044,baseline,NHEFT,1,0.0,0,0,0,1.2242,0.7613,1.9855,648.1841999999997,12.3052,4,2,46,458,458,0,117.85660000000001,2.2374,35,9,236,97,49,48,100.9316986120291,1.9161,47,10,302,160,106,54,8.888982,0,ok,logs/seed_760044.log
760044,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.2242,0.7613,1.9855,648.1841999999997,12.3052,4,2,46,458,458,0,117.85660000000001,2.2374,35,9,236,97,49,48,88.55542603630863,1.6811,20,4,237,73,59,14,8.888982,0,ok,logs/seed_760044.log
215549,baseline,NHEFT,1,0.0,0,0,0,1.3799,0.9692,2.3491,543.1706999999998,15.3713,3,1,44,465,465,0,90.89900000000002,2.5724,31,8,244,82,46,36,66.73662572614107,1.8886,48,10,320,138,97,41,7.867187,0,ok,logs/seed_215549.log
215549,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.3799,0.9692,2.3491,543.1706999999998,15.3713,3,1,44,465,465,0,90.89900000000002,2.5724,31,8,244,82,46,36,738.3885664610643,20.8958,1,1,22,21,21,0,7.867187,0,ok,logs/seed_215549.log
370191,baseline,NHEFT,1,0.0,0,0,0,1.3174,0.9129,2.2303,656.5574000000006,18.5394,5,3,44,469,469,0,98.33629999999998,2.7768,29,7,245,76,45,31,76.60525251698671,2.1631,46,12,297,137,87,50,8.845044,0,ok,logs/seed_370191.log
370191,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.3174,0.9129,2.2303,656.5574000000006,18.5394,5,3,44,469,469,0,98.33629999999998,2.7768,29,7,245,76,45,31,86.19759515302155,2.434,19,5,236,88,56,32,8.845044,0,ok,logs/seed_370191.log
296947,baseline,NHEFT,1,0.0,0,0,0,1.2241,0.956,2.1801,590.9946000000001,12.9153,5,2,63,471,471,0,120.63319999999999,2.6362,32,9,252,108,43,65,95.5814881118881,2.0888,47,11,306,155,97,58,8.305933,0,ok,logs/seed_296947.log
296947,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.2241,0.956,2.1801,590.9946000000001,12.9153,5,2,63,471,471,0,120.63319999999999,2.6362,32,9,252,108,43,65,96.11786623376624,2.1005,21,9,253,133,75,58,8.305933,0,ok,logs/seed_296947.log
963598,baseline,NHEFT,1,0.0,0,0,0,1.446,0.9447,2.3907,577.4712999999991,15.0414,4,2,43,459,459,0,91.75919999999998,2.3901,38,9,254,115,53,62,63.46755258666393,1.6531,41,11,305,163,101,62,9.382385,0,ok,logs/seed_963598.log
963598,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.446,0.9447,2.3907,577.4712999999991,15.0414,4,2,43,459,459,0,91.75919999999998,2.3901,38,9,254,115,53,62,67.62642433875972,1.7615,25,8,263,131,84,47,9.382385,0,ok,logs/seed_963598.log
388451,baseline,NHEFT,1,0.0,0,0,0,1.3561,0.9014,2.2575,466.8065999999994,12.4441,4,2,60,465,465,0,86.6069,2.3088,38,10,257,96,46,50,69.20393357894736,1.8448,40,10,302,120,83,37,7.800108,0,ok,logs/seed_388451.log
388451,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.3561,0.9014,2.2575,466.8065999999994,12.4441,4,2,60,465,465,0,86.6069,2.3088,38,10,257,96,46,50,86.20825826086956,2.2981,25,8,267,133,82,51,7.800108,0,ok,logs/seed_388451.log
602873,baseline,NHEFT,1,0.0,0,0,0,1.2823,0.8167,2.099,468.08549999999997,9.6764,4,2,62,465,465,0,105.0276,2.1712,35,10,254,106,47,59,76.45653196314672,1.5805,42,10,299,142,91,51,8.95813,0,ok,logs/seed_602873.log
602873,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.2823,0.8167,2.099,468.08549999999997,9.6764,4,2,62,465,465,0,105.0276,2.1712,35,10,254,106,47,59,96.10684976805831,1.9868,26,9,262,136,93,43,8.95813,0,ok,logs/seed_602873.log
122745,baseline,NHEFT,1,0.0,0,0,0,1.375,0.7899,2.1649,615.0845000000013,17.7299,5,3,52,466,466,0,98.13859999999997,2.8289,39,8,255,82,41,41,93.4888573898012,2.6948,47,11,326,147,93,54,8.353027,0,ok,logs/seed_122745.log
122745,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.375,0.7899,2.1649,615.0845000000013,17.7299,5,3,52,466,466,0,98.13859999999997,2.8289,39,8,255,82,41,41,68.90169564461738,1.9861,32,9,295,117,83,34,8.353027,0,ok,logs/seed_122745.log
484762,baseline,NHEFT,1,0.0,0,0,0,1.4012,1.0111,2.4123,427.0550999999994,12.1604,5,2,69,456,456,0,80.8927,2.3034,31,7,247,92,50,42,71.03221227309736,2.0226,43,10,307,146,96,50,8.093885,0,ok,logs/seed_484762.log
484762,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4012,1.0111,2.4123,427.0550999999994,12.1604,5,2,69,456,456,0,80.8927,2.3034,31,7,247,92,50,42,67.53224232081911,1.923,25,7,285,137,91,46,8.093885,0,ok,logs/seed_484762.log
514215,baseline,NHEFT,1,0.0,0,0,0,1.4888,0.8563,2.3451,787.0524999999983,20.0228,5,3,50,457,457,0,106.45230000000001,2.7082,29,10,214,102,39,63,66.29033988903925,1.6864,49,13,305,155,104,51,7.243137,0,ok,logs/seed_514215.log
514215,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.4888,0.8563,2.3451,787.0524999999983,20.0228,5,3,50,457,457,0,106.45230000000001,2.7082,29,10,214,102,39,63,102.75751681769441,2.6142,13,4,185,88,55,33,7.243137,0,ok,logs/seed_514215.log
601161,baseline,NHEFT,1,0.0,0,0,0,1.2102,0.8041,2.0143,454.58120000000025,10.1707,4,2,62,459,459,0,90.64199999999998,2.028,41,11,292,116,38,78,78.22037261790668,1.7501,48,13,305,170,98,72,6.708514,0,ok,logs/seed_601161.log
601161,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.2102,0.8041,2.0143,454.58120000000025,10.1707,4,2,62,459,459,0,90.64199999999998,2.028,41,11,292,116,38,78,92.01228078385252,2.0587,21,5,250,100,66,34,6.708514,0,ok,logs/seed_601161.log
78435,baseline,NHEFT,1,0.0,0,0,0,1.2657,0.7749,2.0406,436.2471000000006,10.0161,4,2,61,448,448,0,93.47430000000001,2.1461,29,9,248,101,50,51,61.8114792509658,1.4192,47,12,305,173,106,67,7.224953,0,ok,logs/seed_78435.log
78435,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.2657,0.7749,2.0406,436.2471000000006,10.0161,4,2,61,448,448,0,93.47430000000001,2.1461,29,9,248,101,50,51,70.9491839121447,1.629,26,9,270,143,104,39,7.224953,0,ok,logs/seed_78435.log
480957,baseline,NHEFT,1,0.0,0,0,0,1.412,0.8209,2.2329,377.7842000000001,10.7503,4,2,62,448,448,0,81.0399,2.3061,35,9,246,107,54,53,61.99179740932642,1.764,36,10,289,134,91,43,7.182226,0,ok,logs/seed_480957.log
480957,comp_advantage,NHEFT+CompGate,0,0.0,1,0,0,1.412,0.8209,2.2329,377.7842000000001,10.7503,4,2,62,448,448,0,81.0399,2.3061,35,9,246,107,54,53,57.674980028132985,1.6412,28,10,280,132,93,39,7.182226,0,ok,logs/seed_480957.log
113260,baseline,NHEFT,1,0.0,0,0,0,1.5404,0.9995,2.5399,553.4725000000003,12.1255,5,2,64,499,499,0,92.46349999999998,2.0257,36,8,267,99,50,49,78.9597774462179,1.7299,49,11,323,181,117,64,10.306935,0,ok,logs/seed_113260.log
