seed,variant,variant_display_label,is_baseline_nheft,configured_tolerance,configured_comp_advantage,configured_drt_advantage,configured_irt_advantage,ccr_data,idr_image,nccr_total,heft_makespan,heft_slr,heft_vcpus,heft_hosts,heft_instances,heft_image_dl_total,heft_image_from_repo,heft_image_from_host,dheft_makespan,dheft_slr,dheft_vcpus,dheft_hosts,dheft_instances,dheft_image_dl_total,dheft_image_from_repo,dheft_image_from_host,nheft_makespan,nheft_slr,nheft_vcpus,nheft_hosts,nheft_instances,nheft_image_dl_total,nheft_image_from_repo,nheft_image_from_host,time_sec,return_code,status,log_file
741896,baseline,NHEFT,1,0.0,0,0,0,2.1853,1.9961,4.1814,1309.0604000000017,40.1922,3,2,23,442,442,0,179.4746,5.5104,39,14,216,118,45,73,82.99108215332599,2.5481,41,10,298,148,81,67,5.896649,0,ok,logs/seed_741896.log
741896,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.1853,1.9961,4.1814,1309.0604000000017,40.1922,3,2,23,442,442,0,179.4746,5.5104,39,14,216,118,45,73,1790.0947617804854,54.9615,1,1,22,21,21,0,5.896649,0,ok,logs/seed_741896.log
430515,baseline,NHEFT,1,0.0,0,0,0,2.0855,2.094,4.1795,1072.1883999999966,26.7543,3,2,25,468,468,0,151.93,3.7911,27,8,189,82,45,37,89.71026474547892,2.2385,36,9,291,151,82,69,5.966064,0,ok,logs/seed_430515.log
430515,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.0855,2.094,4.1795,1072.1883999999966,26.7543,3,2,25,468,468,0,151.93,3.7911,27,8,189,82,45,37,994.9732728461541,24.8276,1,1,22,20,20,0,5.966064,0,ok,logs/seed_430515.log
888075,baseline,NHEFT,1,0.0,0,0,0,2.0776,1.8511,3.9287,869.1907999999992,22.3325,5,3,45,471,471,0,127.2328,3.2691,29,7,228,101,54,47,96.25705470370373,2.4732,49,13,329,196,104,92,6.186022,0,ok,logs/seed_888075.log
888075,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.0776,1.8511,3.9287,869.1907999999992,22.3325,5,3,45,471,471,0,127.2328,3.2691,29,7,228,101,54,47,1212.8593462647457,31.1626,1,1,22,24,24,0,6.186022,0,ok,logs/seed_888075.log
914983,baseline,NHEFT,1,0.0,0,0,0,2.3662,2.3921,4.7583,1429.0724999999964,40.1968,2,2,22,446,446,0,162.1827,4.5619,26,9,169,77,40,37,93.585045151576,2.6324,41,10,283,146,76,70,5.823322,0,ok,logs/seed_914983.log
914983,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.3662,2.3921,4.7583,1429.0724999999964,40.1968,2,2,22,446,446,0,162.1827,4.5619,26,9,169,77,40,37,815.1879081036908,22.9295,1,1,22,20,20,0,5.823322,0,ok,logs/seed_914983.log
997971,baseline,NHEFT,1,0.0,0,0,0,2.0965,1.7575,3.854,931.336199999999,31.5774,3,2,41,478,478,0,131.30649999999997,4.452,30,9,222,99,47,52,76.663924508519,2.5993,44,12,300,139,84,55,7.161637,0,ok,logs/seed_997971.log
997971,comp_drt,NHEFT+CompDRT,0,0.0,1,1,0,2.0965,1.7575,3.854,931.336199999999,31.5774,3,2,41,478,478,0,131.30649999999997,4.452,30,9,222,99,47,52,1065.4168830209703,36.1234,1,1,22,20,20,0,7.161637,0,ok,logs/seed_997971.log
