vnf_type_max,sfc_vnf_num,multiple_sfc_num,per_sfc_vnf_num,expected_tasks_per_type,seed,HEFT,DHEFT,NHEFT,time_sec
4,40,4,10,10,6347,1540.1817999999996,151.05300000000003,49.22336766666667,0.7813036441802979
4,40,4,10,10,7536,1335.3086999999996,136.1841,42.987100000000005,0.7848207950592041
4,40,4,10,10,4078,1393.4357999999995,137.00699999999998,38.95706766666666,0.750377893447876
4,40,4,10,10,4726,1337.7398999999996,135.16080000000002,44.06426666666666,0.7217841148376465
4,40,4,10,10,5978,1775.2091000000007,170.69320000000002,55.241969666666655,0.9785799980163574
4,40,4,10,10,8836,1593.257500000001,168.6157,50.8096,0.9456489086151123
4,40,4,10,10,3380,1742.9344,174.19219999999999,50.75786666666666,0.7541277408599854
4,40,4,10,10,3669,1424.0065999999993,140.06369999999995,46.62226766666666,0.68772292137146
4,40,4,10,10,7882,1323.9728999999995,128.91889999999998,50.77713333333333,0.7835347652435303
4,40,4,10,10,2503,1386.7804999999996,135.25499999999997,51.40160000000001,0.8358221054077148
4,40,4,10,10,5802,1694.299499999999,160.90769999999995,53.71230000000001,0.8274056911468506
4,40,4,10,10,6455,1614.6692,162.9819,53.24723333333334,1.0739777088165283
4,40,4,10,10,5608,1509.4685999999995,166.23149999999993,50.75323333333333,0.6906797885894775
4,40,4,10,10,8258,1437.3744000000002,141.8877,47.18581621621622,0.8245909214019775
4,40,4,10,10,7486,1275.4111000000003,126.87350000000002,41.591833333333334,0.8453578948974609
4,40,4,10,10,1839,1461.6913,147.20880000000002,40.21126666666667,0.7019340991973877
4,40,4,10,10,3282,1555.1352000000002,154.9627,46.862868666666664,0.8700599670410156
4,40,4,10,10,3216,1573.2296999999996,151.71229999999997,48.66003333333334,0.8884108066558838
4,40,4,10,10,9034,998.6332000000001,102.14039999999999,34.56526766666667,0.6185369491577148
4,40,4,10,10,7143,1292.5405999999996,132.78130000000004,46.504970666666665,0.7750511169433594
4,40,4,10,10,2446,1827.3073000000004,187.1464,52.82686666666667,0.8942749500274658
4,40,4,10,10,5924,1601.5914,167.54840000000002,50.7665,0.7851731777191162
4,40,4,10,10,8881,1255.5496000000003,126.50349999999997,43.424800000000005,0.9765241146087646
4,40,4,10,10,6634,1464.8287,150.3452,46.109100000000005,0.8064298629760742
4,40,4,10,10,3097,1453.1989000000005,143.3161,46.77226666666667,0.6787779331207275
4,40,4,10,10,1211,1111.7516000000003,129.0767,46.041133333333335,0.8932421207427979
4,40,4,10,10,1921,1298.3855000000003,136.62210000000007,44.019466666666666,0.9339509010314941
4,40,4,10,10,2740,1565.610099999999,158.98309999999995,51.06296866666666,0.9640791416168213
4,40,4,10,10,3306,1087.4006,109.9891,31.8193,0.8065249919891357
4,40,4,10,10,4366,1343.9688999999998,136.64079999999996,50.905699999999996,0.8659238815307617
4,40,4,10,10,5455,1756.0060999999992,171.7848,49.59086666666667,0.8017780780792236
4,40,4,10,10,9095,1515.8911,149.6105,44.3784,0.7004220485687256
4,40,4,10,10,8562,1778.0168000000006,175.55700000000004,54.567,0.7992379665374756
4,40,4,10,10,9815,1137.4469,124.0437,43.508766666666666,0.9999179840087891
4,40,4,10,10,1466,1156.4729000000002,121.27029999999999,37.61156666666667,0.969902753829956
4,40,4,10,10,8480,1563.0938000000003,154.25660000000002,58.06239999999999,0.9129269123077393
4,40,4,10,10,3792,1634.8282999999997,165.88680000000002,53.021302000000006,0.9408550262451172
4,40,4,10,10,4697,1377.0292,136.6315,49.020833333333336,0.8198862075805664
4,40,4,10,10,1565,1694.3021,168.14659999999998,56.166101000000005,1.0196237564086914
4,40,4,10,10,5891,1742.8592,174.33319999999995,51.168000000000006,0.9256687164306641
4,40,4,10,10,8308,1499.4121,153.3209,46.41546666666666,0.812809944152832
4,40,4,10,10,4257,1436.7530999999994,139.2597,43.29063433333333,0.9409611225128174
4,40,4,10,10,5733,1553.4027999999998,147.4084,52.07403333333333,0.7401549816131592
4,40,4,10,10,2946,1063.5165,106.81580000000001,35.73093333333335,0.9173929691314697
4,40,4,10,10,1292,1671.7287000000003,170.94159999999997,53.09803733333332,0.9163339138031006
4,40,4,10,10,5439,1366.824,138.10160000000002,43.32143333333333,1.2202181816101074
4,40,4,10,10,1714,1217.4675000000004,124.59729999999999,43.07493433333333,1.1080269813537598
4,40,4,10,10,9200,1576.9268999999986,161.41599999999997,46.88973433333333,0.8283658027648926
4,40,4,10,10,5804,1717.1289000000006,175.9962,53.87516666666667,0.994117259979248
4,40,4,10,10,3154,1193.6235000000001,129.76590000000002,49.449047899159666,0.7125811576843262
4,40,4,10,10,2195,1664.8747,164.244,48.655199999999994,0.9458417892456055
4,40,4,10,10,3042,1406.9741999999997,127.58219999999999,42.08036766666666,1.043238878250122
4,40,4,10,10,9808,1561.9458000000006,150.2431,50.1111,1.3129117488861084
4,40,4,10,10,5407,1195.3701999999998,122.51590000000002,40.36203433333333,1.1875300407409668
4,40,4,10,10,3782,1511.2204000000004,149.18419999999998,50.116,1.0612599849700928
4,40,4,10,10,5410,1140.5022000000001,115.14259999999999,40.36603333333334,1.0955047607421875
4,40,4,10,10,8428,1664.7645000000014,175.1035,54.136833333333335,1.1149930953979492
4,40,4,10,10,7236,1434.6528,144.7574,43.22466666666667,1.1980550289154053
4,40,4,10,10,2085,1187.6063000000004,115.72699999999998,38.2607235,1.0433001518249512
4,40,4,10,10,2139,1392.1045999999992,138.7022,41.26143533333333,1.2253060340881348
4,40,4,10,10,6801,1258.8368,130.2404,44.04556766666666,0.9580368995666504
4,40,4,10,10,6820,1630.8405999999998,163.7353,48.18743333333333,1.3568980693817139
4,40,4,10,10,3830,1308.5129000000002,131.67060000000006,48.611501,1.0902740955352783
4,40,4,10,10,7975,1494.7959,156.23030000000003,49.913866666666664,1.1357009410858154
4,40,4,10,10,3469,1673.3605999999995,162.9119,51.018334333333335,1.1281909942626953
4,40,4,10,10,1454,1237.7297999999994,128.74609999999996,47.707401,1.0038020610809326
4,40,4,10,10,2573,1043.2009000000005,102.2058,36.53793533333333,1.3364801406860352
4,40,4,10,10,3931,1576.1319,162.93910000000005,50.34676866666666,1.2897560596466064
4,40,4,10,10,5445,1307.7321000000002,128.5111,44.415703,1.1693861484527588
4,40,4,10,10,5745,1360.6206999999997,135.73410000000004,51.018366666666665,1.2814390659332275
4,40,4,10,10,7167,1545.7533999999998,152.46250000000006,46.6779,1.129276990890503
4,40,4,10,10,7597,1606.2878999999998,164.4688,53.477501,1.0495460033416748
4,40,4,10,10,7005,1065.0212,108.40879999999997,33.20126666666666,1.1669139862060547
4,40,4,10,10,3239,1621.1517999999999,161.05089999999998,48.86556766666666,1.4421281814575195
4,40,4,10,10,4331,1340.5267,135.91449999999998,44.766099999999994,1.2005507946014404
4,40,4,10,10,5960,1536.7541999999996,152.1348,52.938700999999995,1.2341749668121338
4,40,4,10,10,1284,1374.5437000000004,136.3339,50.21753333333332,1.341710090637207
4,40,4,10,10,2402,1550.4168,155.7569,52.84603333333334,1.344104290008545
4,40,4,10,10,8146,1300.9491000000007,137.0842,43.761366666666675,1.3063180446624756
4,40,4,10,10,1786,1623.3929999999996,161.9332,45.51966666666666,1.0593199729919434
4,40,4,10,10,8911,1553.4961000000005,154.469,53.10006666666666,1.5441358089447021
4,40,4,10,10,7510,1345.7571999999998,131.3775,47.61913333333332,1.2308270931243896
4,40,4,10,10,6556,1441.4259,138.9293,47.42026666666667,1.03914213180542
4,40,4,10,10,5726,1509.4895000000008,146.5888,53.15346666666666,1.165153980255127
4,40,4,10,10,2935,1466.4348999999997,143.6344,48.76676766666667,1.1799559593200684
4,40,4,10,10,7223,1127.4607,116.33349999999999,35.247099999999996,1.1909854412078857
4,40,4,10,10,1405,1282.4242999999997,126.1503,44.80186666666666,1.240840196609497
4,40,4,10,10,6792,1579.751900000001,159.2546,51.00773333333334,1.1449682712554932
4,40,4,10,10,7527,1380.9001,137.15650000000002,40.619768666666666,1.234476089477539
4,40,4,10,10,3965,1753.3219000000001,174.94299999999998,48.78666666666666,1.2739672660827637
4,40,4,10,10,9686,1172.9705000000004,126.1111,45.999203,1.2604758739471436
4,40,4,10,10,2054,1180.3439999999996,119.85020000000002,41.50056666666667,1.3740549087524414
4,40,4,10,10,7502,1366.7218999999998,139.8895,50.76723433333333,1.400634765625
4,40,4,10,10,5872,1166.7246000000002,116.0249,36.32503333333333,1.5518219470977783
4,40,4,10,10,1751,1405.6059999999995,140.14580000000004,49.387436333333326,1.5741219520568848
4,40,4,10,10,5095,1212.8884999999996,124.86160000000001,49.663066666666666,1.2602348327636719
4,40,4,10,10,8465,1727.7759999999998,173.82600000000002,53.347100000000005,1.418370008468628
