multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,seed,HEFT,DHEFT,NHEFT,time_sec
1,320,320,1,12,6000,12000,200,6347,14571.43200000001,542.3242999999998,114.69490100000004,24.951606035232544
1,320,320,1,12,6000,12000,200,7536,13747.400700000013,521.7613,130.47731276470583,12.218465089797974
1,320,320,1,12,6000,12000,200,4078,13745.594400000025,515.0516000000005,94.90297299999997,33.18439507484436
1,320,320,1,12,6000,12000,200,4726,15439.065199999968,585.4018000000001,131.425601,25.556838989257812
1,320,320,1,12,6000,12000,200,5978,14942.56630000003,563.3643000000004,118.81750099999998,50.397424936294556
1,320,320,1,12,6000,12000,200,8836,15843.506200000002,589.4496999999998,107.28501400000002,23.971741914749146
1,320,320,1,12,6000,12000,200,3380,14955.932900000013,563.8869999999998,102.86390100000001,7.346935033798218
1,320,320,1,12,6000,12000,200,3669,14871.811999999984,556.8204999999997,108.19710100000002,24.7012038230896
1,320,320,1,12,6000,12000,200,7882,14447.591600000005,539.3169000000003,127.60317322834649,44.20738983154297
1,320,320,1,12,6000,12000,200,2503,12937.06200000002,489.64899999999994,129.70500099999998,27.257226943969727
1,320,320,1,12,6000,12000,200,5802,14802.263600000044,561.7501999999997,108.16555933112578,38.44847393035889
1,320,320,1,12,6000,12000,200,6455,14915.702500000027,560.4274000000003,105.71010220500001,9.711860179901123
1,320,320,1,12,6000,12000,200,5608,15953.284299999988,609.1214000000002,122.73310099999999,10.905173063278198
1,320,320,1,12,6000,12000,200,8258,14932.492799999998,572.1855999999999,144.022902,37.39239692687988
1,320,320,1,12,6000,12000,200,7486,14668.748400000022,551.4227999999997,116.12477391304347,78.80152082443237
1,320,320,1,12,6000,12000,200,1839,13506.130399999953,509.016,93.27860099999997,59.68720316886902
1,320,320,1,12,6000,12000,200,3282,14332.67449999997,545.7800000000002,102.35310199999999,18.335033893585205
1,320,320,1,12,6000,12000,200,3216,15470.805100000005,571.3703000000006,114.30300099999995,10.815648078918457
1,320,320,1,12,6000,12000,200,9034,13954.829600000012,511.9793000000001,113.41867099999996,8.319696187973022
1,320,320,1,12,6000,12000,200,7143,14076.331100000018,524.4688999999996,97.464134375,13.483067989349365
1,320,320,1,12,6000,12000,200,2446,15751.238200000025,592.8827000000003,97.31665100000006,21.456552743911743
1,320,320,1,12,6000,12000,200,5924,14006.075500000026,530.6052000000002,117.55320099999997,9.211191177368164
1,320,320,1,12,6000,12000,200,8881,13402.57590000001,509.4679000000001,99.66002599999995,10.674556970596313
1,320,320,1,12,6000,12000,200,6634,14636.12819999999,552.1019000000003,127.8930523513513,25.424102306365967
1,320,320,1,12,6000,12000,200,3097,14583.80210000001,545.2340000000003,135.81195594505496,34.83147478103638
1,320,320,1,12,6000,12000,200,1211,13842.711700000009,522.6361000000002,90.7791084690554,23.499171018600464
1,320,320,1,12,6000,12000,200,1921,13215.138900000013,515.3241999999998,100.93001461256544,6.875974893569946
1,320,320,1,12,6000,12000,200,2740,14808.428400000015,552.9153000000003,106.33300099999997,40.22902512550354
1,320,320,1,12,6000,12000,200,3306,13557.126800000015,515.2856000000003,107.616501,10.93008303642273
1,320,320,1,12,6000,12000,200,4366,13784.806000000004,522.3349999999997,109.24256899999999,8.890421867370605
1,320,320,1,12,6000,12000,200,5455,15670.584200000012,592.3793999999998,146.15033076923086,20.71332597732544
1,320,320,1,12,6000,12000,200,9095,14364.45029999997,533.3922,97.77350900000002,13.846662998199463
1,320,320,1,12,6000,12000,200,8562,14956.838099999986,571.1342999999999,111.76110100000001,6.637446880340576
1,320,320,1,12,6000,12000,200,9815,12030.945200000004,459.13180000000006,99.179501,8.271002054214478
1,320,320,1,12,6000,12000,200,1466,14565.097899999997,547.6393000000003,99.07653498098861,17.864113092422485
1,320,320,1,12,6000,12000,200,8480,13863.609500000024,516.9956000000001,141.42694905660375,17.954362154006958
1,320,320,1,12,6000,12000,200,3792,15702.718899999987,595.4362000000004,99.53552106333333,7.381722927093506
1,320,320,1,12,6000,12000,200,4697,13780.557399999998,524.8212999999997,108.26125100000004,18.164363861083984
1,320,320,1,12,6000,12000,200,1565,13940.139799999988,533.9740999999999,100.010802,27.084954023361206
1,320,320,1,12,6000,12000,200,5891,15654.767300000029,590.4668999999997,154.72273362032087,5.349349021911621
1,320,320,1,12,6000,12000,200,8308,14046.796900000018,530.6239000000002,130.12095323741008,14.628302812576294
1,320,320,1,12,6000,12000,200,4257,14142.13420000001,530.0554999999996,101.39010256410258,20.894026041030884
1,320,320,1,12,6000,12000,200,5733,14885.904899999972,554.5590000000003,157.85230199999998,11.885756969451904
1,320,320,1,12,6000,12000,200,2946,13882.090200000033,526.9396999999993,94.76009849999996,9.652683019638062
1,320,320,1,12,6000,12000,200,1292,14071.4082,529.3689999999997,81.27170000000001,32.48480725288391
1,320,320,1,12,6000,12000,200,5439,14510.09570000002,549.6226000000004,110.39351563414634,41.30830907821655
1,320,320,1,12,6000,12000,200,1714,14066.104500000005,528.0172000000002,104.89340100000001,23.89058208465576
1,320,320,1,12,6000,12000,200,9200,15113.943800000052,564.1236999999998,133.38330100000005,36.026703119277954
1,320,320,1,12,6000,12000,200,5804,14257.233000000013,529.9299000000003,125.399001,9.675827026367188
1,320,320,1,12,6000,12000,200,3154,13714.85630000005,517.5151999999998,161.47960200000003,6.108241319656372
1,320,320,1,12,6000,12000,200,2195,14210.582700000012,529.0343000000003,133.43920100000003,7.623365879058838
1,320,320,1,12,6000,12000,200,3042,14697.530999999994,565.0660000000005,85.87220953999996,9.48203706741333
1,320,320,1,12,6000,12000,200,9808,14482.531400000016,542.4822000000004,121.10870099999998,19.345863103866577
1,320,320,1,12,6000,12000,200,5407,14146.698700000019,539.4261999999997,112.549505,15.56035590171814
1,320,320,1,12,6000,12000,200,3782,15231.216300000011,577.5584999999998,130.25358038144324,17.907952070236206
1,320,320,1,12,6000,12000,200,5410,12150.965900000012,458.7056000000001,106.7510073829787,11.779932737350464
1,320,320,1,12,6000,12000,200,8428,15203.514999999998,576.2519000000001,105.17860099999997,6.976858139038086
1,320,320,1,12,6000,12000,200,7236,15205.591799999966,570.0509999999997,96.28598499999998,14.695726871490479
1,320,320,1,12,6000,12000,200,2085,12356.065700000021,462.0498,104.53082600000003,4.411531209945679
1,320,320,1,12,6000,12000,200,2139,13805.37000000003,526.7104999999999,98.57360148,74.27777886390686
1,320,320,1,12,6000,12000,200,6801,0,0,0,0
1,320,320,1,12,6000,12000,200,6820,14949.753100000024,567.6343999999996,110.52008272588833,18.309436798095703
1,320,320,1,12,6000,12000,200,3830,15279.312699999982,566.7379000000001,121.56138424607327,11.767589330673218
1,320,320,1,12,6000,12000,200,7975,15147.673299999977,567.1189999999999,100.40482699999997,11.633762836456299
1,320,320,1,12,6000,12000,200,3469,14627.221000000018,545.9096999999998,110.54238027350428,10.331938028335571
1,320,320,1,12,6000,12000,200,1454,12934.253399999985,486.0056999999998,83.60897435500006,9.745577096939087
1,320,320,1,12,6000,12000,200,2573,13503.237199999985,504.0705999999996,89.21282448366011,6.049379110336304
1,320,320,1,12,6000,12000,200,3931,13401.758399999995,512.9899000000001,81.34760000000001,7.056222915649414
1,320,320,1,12,6000,12000,200,5445,14452.7384,540.3863000000003,111.9620799468234,11.592691898345947
1,320,320,1,12,6000,12000,200,5745,14538.017599999996,555.0114000000004,131.19420099999996,5.770158052444458
1,320,320,1,12,6000,12000,200,7167,15927.118399999994,595.6499999999997,158.08480199999997,6.7204673290252686
1,320,320,1,12,6000,12000,200,7597,15960.560800000021,600.1477,118.51565099999998,5.229263782501221
1,320,320,1,12,6000,12000,200,7005,13235.846699999978,497.72659999999996,121.238802,5.240059852600098
1,320,320,1,12,6000,12000,200,3239,14792.72569999995,553.0390999999998,106.125301,5.619628190994263
1,320,320,1,12,6000,12000,200,4331,14418.62370000001,545.8388999999996,102.42340100000006,15.557239055633545
1,320,320,1,12,6000,12000,200,5960,14258.931099999983,545.1400000000004,100.25703700000001,14.582404851913452
1,320,320,1,12,6000,12000,200,1284,14185.749800000003,531.6636000000002,164.27223203448278,6.809445858001709
1,320,320,1,12,6000,12000,200,2402,15212.369500000026,575.3727999999999,121.21200099999997,7.377963066101074
1,320,320,1,12,6000,12000,200,8146,14595.028899999961,550.6938000000002,116.60130100000002,22.66756510734558
1,320,320,1,12,6000,12000,200,1786,15293.916199999969,580.1352,108.51430100000003,5.805901050567627
1,320,320,1,12,6000,12000,200,8911,15233.451599999997,575.7847000000008,97.74740100000001,41.123849868774414
1,320,320,1,12,6000,12000,200,7510,13770.006999999983,525.7497999999998,155.3750978625864,12.132894039154053
1,320,320,1,12,6000,12000,200,6556,14846.667200000013,566.7353000000005,135.52436179381448,7.1319098472595215
1,320,320,1,12,6000,12000,200,5726,13760.263600000006,516.7441999999994,97.866651,9.540761232376099
1,320,320,1,12,6000,12000,200,2935,14435.19579999998,542.9132999999997,70.9773,5.3838372230529785
1,320,320,1,12,6000,12000,200,7223,14930.708300000037,552.6616,119.38670100000004,14.948389053344727
1,320,320,1,12,6000,12000,200,1405,13664.665800000012,523.0262,130.77770100000004,12.301440954208374
1,320,320,1,12,6000,12000,200,6792,14196.707299999985,541.9236000000002,110.26340099999997,8.343206882476807
1,320,320,1,12,6000,12000,200,7527,15622.9652,582.6290000000004,106.068301,5.478778839111328
1,320,320,1,12,6000,12000,200,3965,14351.887699999957,543.2875000000001,87.554282,13.978317975997925
1,320,320,1,12,6000,12000,200,9686,14475.977799999982,539.8059999999996,107.24815223499999,8.46414065361023
1,320,320,1,12,6000,12000,200,2054,13574.302000000007,510.2688999999999,125.15430100000002,12.70129108428955
1,320,320,1,12,6000,12000,200,7502,13819.195899999988,526.1499,103.3895010000001,11.72195291519165
1,320,320,1,12,6000,12000,200,5872,13980.000100000003,528.6689000000002,107.26553944954131,11.651289939880371
1,320,320,1,12,6000,12000,200,1751,0,0,0,0
1,320,320,1,12,6000,12000,200,5095,13652.34970000002,512.2062,111.44209541984729,3.9899089336395264
1,320,320,1,12,6000,12000,200,8465,15949.979600000019,596.0526999999997,118.15375199999997,75.7546329498291
1,320,320,1,12,6000,12000,200,8504,15274.36090000001,577.5423999999998,115.305301,7.741709232330322
1,320,320,1,12,6000,12000,200,8819,13720.204699999973,505.72900000000016,105.926701,5.841689109802246
1,320,320,1,12,6000,12000,200,4921,13344.698300000018,507.7266999999998,132.21050099999997,6.094912052154541
2,160,320,1,12,6000,12000,200,6347,14571.427000000012,542.7768999999998,120.49260100000001,2.252581834793091
2,160,320,1,12,6000,12000,200,7536,13747.397700000018,522.9315000000005,121.93780100000002,2.5250420570373535
2,160,320,1,12,6000,12000,200,4078,13745.591500000033,512.5412,86.24168499999999,3.526007890701294
2,160,320,1,12,6000,12000,200,4726,15439.074699999976,585.1399000000004,131.08884746464645,2.43023419380188
2,160,320,1,12,6000,12000,200,5978,14942.58080000003,563.2721,110.06030100000001,2.526758909225464
2,160,320,1,12,6000,12000,200,8836,15843.4941,590.1021000000002,104.27800100000002,2.6452810764312744
2,160,320,1,12,6000,12000,200,3380,14955.914400000018,564.1797999999997,106.017601,2.589298963546753
2,160,320,1,12,6000,12000,200,3669,14871.81849999999,556.8353000000001,110.07035861060878,2.495985984802246
2,160,320,1,12,6000,12000,200,7882,14447.583199999997,539.5241000000003,116.06382399999997,2.8236899375915527
2,160,320,1,12,6000,12000,200,2503,12937.045500000018,491.47560000000004,124.9868444782609,1.898120403289795
2,160,320,1,12,6000,12000,200,5802,14802.250900000048,562.0357000000001,96.80557748344374,2.5716726779937744
2,160,320,1,12,6000,12000,200,6455,14915.705700000024,561.6984000000003,95.42986499999999,2.5334620475769043
2,160,320,1,12,6000,12000,200,5608,15953.280699999987,609.4872999999998,123.18438672727272,3.067986011505127
2,160,320,1,12,6000,12000,200,8258,14932.484999999995,571.9934000000001,137.65331931924806,2.6641290187835693
2,160,320,1,12,6000,12000,200,7486,14668.741700000026,554.0144999999992,116.87624628099174,2.8744730949401855
2,160,320,1,12,6000,12000,200,1839,13506.105999999958,509.07799999999975,76.59632600000002,2.3839638233184814
2,160,320,1,12,6000,12000,200,3282,14332.667499999972,545.7067000000002,105.76840099999995,3.4454030990600586
2,160,320,1,12,6000,12000,200,3216,15470.789600000011,571.2843000000005,115.998901,2.7246949672698975
