effective_total_vnf_num,multiple_sfc_num,per_sfc_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6347,3702.2884999999983,540.6981999999999,64.063443145,1.4441030025482178
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7536,3459.2222000000006,520.3815,59.852900999999996,1.5886662006378174
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4078,3384.620699999999,509.4334999999999,51.94900199999999,1.0743889808654785
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4726,3813.022700000002,581.5293,60.6645,1.5583610534667969
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5978,3783.782400000001,559.3296,60.657600999999985,1.5771071910858154
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8836,3884.983800000001,588.0439,59.005700000000004,1.460906982421875
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3380,3734.475800000001,561.592,60.71310099999999,1.494114875793457
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3669,3712.5187999999994,554.6442,60.831103,1.5528850555419922
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7882,3558.9058999999975,537.0414,58.2252,1.4396421909332275
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2503,3355.9296000000004,488.20889999999997,62.282737999999995,1.5148179531097412
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5802,3671.5635000000007,559.6366999999998,60.998804,1.2779450416564941
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6455,3716.9473,558.0264999999999,60.6471,1.6410720348358154
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5608,3802.282699999998,603.5319999999999,59.584402000000004,1.5208430290222168
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8258,3696.286100000003,564.5833000000001,64.22435956999998,1.8395121097564697
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7486,3608.5888,549.0205,60.432501,1.4691259860992432
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1839,3326.9511000000007,507.4962,49.58050399999999,1.0989232063293457
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3282,3627.6019000000015,544.5866,56.165903,1.9473490715026855
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3216,3909.5564999999997,569.1486000000003,59.3411,1.7889721393585205
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9034,3485.203399999999,509.6287,59.7487,1.268165111541748
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7143,3525.718,518.6352,55.423900999999994,1.494764804840088
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2446,3886.1923999999985,586.3428999999999,61.00040199999999,1.5600810050964355
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5924,3497.3655000000012,529.496,58.34150000000001,1.5364022254943848
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8881,3279.9091000000003,506.02299999999997,51.72130000000001,1.5758049488067627
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6634,3734.910900000001,550.2266000000002,59.357104999999976,1.8133068084716797
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3097,3597.4186000000022,543.1147000000001,58.688700000000004,1.439866304397583
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1211,3420.467099999999,521.3604000000001,55.00040200000001,1.5608928203582764
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1921,3230.3784000000005,513.1632000000001,56.44170099999999,1.498487949371338
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2740,3611.5042000000003,551.3660999999998,58.3882,1.948615312576294
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3306,3371.7101999999986,513.3767,59.8496,1.7212679386138916
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4366,3349.803500000001,519.8936000000003,58.0238,1.6872339248657227
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5455,3914.984300000001,591.2513000000002,60.5775,2.0123870372772217
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9095,3540.9142999999995,528.5184999999999,57.39230299999999,1.685589075088501
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8562,3762.5439999999994,564.1361999999999,60.56670299999999,2.286522150039673
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9815,3044.0239999999985,457.06939999999986,51.1152,1.682675838470459
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1466,3633.8255999999997,543.348,59.051199999999994,1.9810402393341064
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8480,3384.739599999998,514.0458,60.47440099999999,1.5658659934997559
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3792,3932.042300000002,592.5239999999997,60.81970099999998,1.6712470054626465
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4697,3470.8803999999986,518.759,58.22640100000001,1.717724323272705
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1565,3504.5424999999977,532.0168,59.1972,1.7455017566680908
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5891,4060.6726,583.1092000000001,60.022402,1.6778068542480469
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8308,3576.433,524.0911999999998,55.19630199999999,1.6213369369506836
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4257,3524.5704,527.6954999999999,60.71630199999999,1.8885791301727295
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5733,3747.619100000001,553.2165000000001,59.93699999999999,1.8988220691680908
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2946,3451.958200000001,524.4062,59.480105999999985,1.8169829845428467
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1292,3557.351999999997,527.5738,59.114101000000005,1.5913312435150146
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5439,3540.6130000000007,548.3689,60.790001,2.0174977779388428
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1714,3474.6428000000005,526.6845999999998,59.79349295,1.6601779460906982
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9200,3744.035899999998,561.2709999999998,59.520901,1.5049359798431396
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5804,3705.581,526.9957,61.95150394499999,1.8896822929382324
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3154,3438.5985000000005,515.2352,60.314899999999994,1.548797845840454
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2195,3538.3116000000005,526.5979999999998,56.97880000000001,1.7322609424591064
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3042,3652.008200000001,563.0432,59.26700299999999,1.7804007530212402
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,9808,3607.9522999999995,540.9279,58.23530099999999,1.7984042167663574
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5407,3653.569899999998,536.2361,58.375803999999974,1.4188652038574219
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3782,3831.2101000000002,576.0858,60.60320099999999,2.4937188625335693
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5410,3080.9681999999993,457.35499999999985,51.201299999999996,1.6739349365234375
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8428,3819.3196999999996,572.8009999999998,60.92739999999999,1.6245088577270508
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7236,3855.137000000002,568.3465000000001,58.381299999999996,1.5345280170440674
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2085,3128.1655999999984,459.75690000000003,55.775590179999995,1.7879438400268555
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2139,3484.8181000000004,465.62489999999985,60.489399999999996,1.964726209640503
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6801,3284.909100000003,510.4959,61.3838,1.5439708232879639
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6820,3846.6824999999985,564.0201000000001,58.38130099999999,1.6795587539672852
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3830,3805.4442000000004,565.5895999999998,60.748402,1.7282037734985352
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7975,3878.8170000000023,565.7229000000002,59.286502,1.4811389446258545
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3469,3591.570599999999,542.8643999999999,57.668500999999985,1.8241360187530518
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1454,3279.8797,484.1031,57.578301999999994,1.6605348587036133
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2573,3411.949400000001,498.4391999999999,61.56570499999998,1.650723934173584
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3931,3284.0938000000015,510.2506,60.152502,1.5967471599578857
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5445,3636.3517,537.8026000000001,59.645500999999996,1.620276927947998
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5745,3629.2065999999986,551.3618,59.74820099999999,1.9384770393371582
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7167,3921.337899999998,593.3838000000003,65.45846777499999,1.9807491302490234
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7597,4042.0074999999965,596.6529,60.908401000000005,1.5781211853027344
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7005,3314.0547000000024,494.9079,62.08760200000001,1.464123249053955
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,3239,3769.6420000000007,550.1218000000001,60.135201999999985,1.6930491924285889
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,4331,3486.9446000000034,543.5561999999996,60.87690199999999,1.4820950031280518
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5960,3608.175999999999,542.8757,61.476701999999996,1.2352969646453857
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1284,3622.3394000000008,529.7315000000001,60.641400000000004,1.4950790405273438
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2402,3744.2766000000006,572.9453000000001,60.5243,2.1604647636413574
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8146,3560.0218000000027,548.9622999999999,60.6791,2.004528045654297
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,1786,3789.4537,577.0438999999999,59.861000999999995,1.6717782020568848
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,8911,3847.3700000000003,571.7581,60.188002,1.6822388172149658
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,7510,3521.5253999999986,523.3120999999999,57.680801999999986,1.543299913406372
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,6556,3839.3635000000017,560.8860999999999,60.95703825992317,1.7475709915161133
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,5726,3430.8497000000007,509.9719,59.029403999999985,1.7474679946899414
80,4,20,1,12,6000,12000,200,500,1000,1000,2000,2935,3592.8986999999997,541.3607999999999,56.87040199999999,1.6022820472717285
