repository_bw,multiple_sfc_num,DHEFT_mean,DHEFT_std,NHEFT_mean,NHEFT_std,gain_N_over_D_mean,gain_N_over_D_median,gain_N_over_D_trimmed,wins_count,win_rate,p_value,wilcoxon_p,n_runs
300,1,401.67985666666664,8.901851084124019,48.61273507426993,2.724246896862564,87.89535213873371,88.07452010034402,87.8969176437184,30,1.0,1.926449118994995e-48,1.862645149230957e-09,30
300,2,401.77315333333337,8.870730699162083,46.60237676082986,2.6551399975105157,88.40037014307613,88.35237205683917,88.38387254158964,30,1.0,4.5881185442205516e-49,1.862645149230957e-09,30
300,4,401.72862,8.574618780966095,44.319360486648684,2.1888713263449637,88.96769889310762,88.89136202418302,88.98338126416748,30,1.0,9.347575417365442e-50,1.862645149230957e-09,30
300,8,401.93389,8.526623312140522,43.319518987539816,2.244414064481552,89.21874542045045,89.34933037096607,89.25665734039103,30,1.0,8.628315197925783e-49,1.862645149230957e-09,30
600,1,202.3249366666667,4.8421474209126245,35.428889233200564,3.2169040792531205,82.480866058326,82.50152682589471,82.5332010812077,30,1.0,2.9107310940326514e-44,1.862645149230957e-09,30
600,2,202.42334666666667,4.784038763014248,33.09557397303046,2.428465788251335,83.643378232049,83.672323817696,83.65580482236182,30,1.0,1.3425802506670747e-45,1.862645149230957e-09,30
600,4,202.35894000000002,4.608794750863448,31.252243712886287,2.431485173302298,84.55552066263003,84.40151177568055,84.56529346854364,30,1.0,2.522975125076308e-47,1.862645149230957e-09,30
600,8,202.50949666666665,4.532095247080395,30.09083416781468,2.178146607257802,85.13548912598047,85.17456126850612,85.14819700400653,30,1.0,1.1205373965206934e-46,1.862645149230957e-09,30
900,1,135.9112833333334,3.450679063513125,29.736858644791493,2.691911150087802,78.10166781607634,78.57489142249405,78.25191601340309,30,1.0,2.329807316716065e-41,1.862645149230957e-09,30
900,2,136.15729000000002,3.2673458137222515,27.310668130447127,2.3068391645314708,79.93278325250279,79.97544926338357,79.99963327450011,30,1.0,1.0296083811552077e-43,1.862645149230957e-09,30
900,4,136.11206,3.061350838820149,25.331664639155292,2.4371374049884813,81.38406805815978,81.7794444900568,81.57878777989849,30,1.0,1.51628110354367e-44,1.862645149230957e-09,30
900,8,136.32354999999998,3.005176584604512,23.915817718057536,1.7419257840532902,82.45280270388488,82.76386625293505,82.51968922737188,30,1.0,1.5330715812365924e-46,1.862645149230957e-09,30
