repository_bw,multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,datacenter_externalbw_min,datacenter_externalbw_max,host_bw_min,host_bw_max,seed,HEFT,DHEFT,NHEFT,time_sec
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,6347,3258.577800000003,204.71410000000006,39.06316813545816,36.725860834121704
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,7536,3094.5655999999985,196.33800000000002,37.37410199999998,15.454508066177368
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,4078,3159.0487000000026,199.58589999999995,34.88588213553643,38.58712387084961
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,4726,3265.0067999999987,207.94469999999995,36.47120199999999,27.699265956878662
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,5978,3264.4643000000046,207.14360000000013,39.91585900000001,59.00302505493164
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,8836,3316.4107000000013,209.30120000000008,33.03563905138766,30.634552001953125
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3380,3285.534199999997,207.65650000000008,37.60470199999999,10.018829107284546
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3669,3185.4351000000006,202.65229999999997,36.31985699797754,29.076538801193237
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,7882,3233.0338999999967,204.39210000000008,33.31616766666668,44.40639901161194
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,2503,3154.769400000004,199.58090000000016,44.913716888888914,25.958526849746704
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,5802,3281.804799999994,206.33270000000002,35.5413031311,37.696818113327026
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,6455,3242.864899999997,204.61750000000004,33.77001224000001,9.117618799209595
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,5608,3299.8118,212.1068,36.03123874582223,10.367066144943237
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,8258,3213.736000000007,202.76580000000007,38.27309360700391,40.31488275527954
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,7486,3212.311799999995,205.23940000000007,35.22073426310247,73.50170397758484
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,1839,3199.9443999999944,201.64170000000004,33.14037207277777,55.522331953048706
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3282,3163.8138000000067,199.26149999999993,32.57083533333333,19.950990200042725
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,3216,3195.9585000000056,201.56649999999993,34.490607008347226,12.730518102645874
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,9034,3159.9098999999983,198.8874999999998,33.28038304535147,7.716434955596924
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,7143,3111.244900000004,198.41240000000002,31.2403324183124,14.913015842437744
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,2446,3257.2904999999964,209.43750000000006,29.285135447098973,23.969526052474976
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,5924,3175.4957000000004,201.24320000000003,36.73171335525323,10.681653022766113
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,8881,3096.070600000003,194.74939999999995,34.69546746296298,11.932658910751343
600,1,320,320,1,20,5000,7000,500,1000,1000,2000,6634,3082.0353999999957,194.13260000000008,37.98529707876231,29.305881023406982
