seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,b31_match
6347,48.07290000000006,37.8753,37.51624518938308,4.162901163101196,0.0759,0.0842,0.1601,0.008300000000000002,True
7536,71.0832,35.4314,35.10536301022147,4.680572032928467,0.0687,0.0735,0.1422,0.004799999999999999,True
4078,66.63920000000002,40.386100000000006,40.62598208108108,3.435163974761963,0.0655,0.0522,0.1177,0.0133,True
4726,86.07029999999997,40.0412,38.5929,3.900660991668701,0.0798,0.0917,0.1715,0.011900000000000008,True
5978,94.52680000000004,51.32749999999999,53.312163421828906,4.885976076126099,0.0715,0.0704,0.1419,0.0010999999999999899,True
8836,47.37629999999994,38.8978,39.280702478743066,4.52439284324646,0.0686,0.0756,0.1442,0.007000000000000006,True
3380,82.80410000000012,44.2148,44.22647975569044,4.1854729652404785,0.0767,0.084,0.1607,0.007300000000000001,True
3669,67.30219999999998,44.1744,44.17445201580135,3.4287750720977783,0.0703,0.0631,0.1334,0.007199999999999998,True
7882,77.10270000000001,42.080299999999994,42.53698847583643,4.439848899841309,0.071,0.0808,0.1518,0.009800000000000003,True
2503,51.11070000000003,33.5976,32.714538102643864,3.4512939453125,0.0785,0.0904,0.1689,0.011899999999999994,True
5802,104.45200000000028,40.445200000000014,38.52658799654777,3.617337703704834,0.0662,0.0665,0.1327,0.0003000000000000086,True
6455,80.80880000000003,37.6577,37.21442591304348,4.47114109992981,0.0653,0.0639,0.1292,0.0013999999999999985,True
5608,114.96199999999996,44.3024,41.22869141104296,4.323700904846191,0.0629,0.0744,0.1373,0.011499999999999996,True
8258,112.08019999999988,41.7826,40.9993,4.944689035415649,0.0694,0.0909,0.1603,0.02149999999999999,False
7486,65.5857,51.6382,57.911048878923765,4.977956295013428,0.0735,0.0819,0.1554,0.008400000000000005,True
1839,50.352499999999985,40.14019999999999,39.97977440553551,3.6507129669189458,0.0715,0.0582,0.1297,0.013299999999999992,True
3282,65.67660000000012,41.945800000000006,43.292739890710386,5.003371953964233,0.0687,0.0614,0.1301,0.007299999999999994,True
3216,83.25290000000003,32.3115,32.51597019958706,4.220985174179077,0.0657,0.0726,0.1383,0.006900000000000003,True
9034,79.65379999999993,39.8949,39.75048571428571,3.0211949348449707,0.0747,0.0689,0.1436,0.0058,True
7143,79.41489999999989,32.679,34.196482594296825,3.358992099761963,0.07,0.0679,0.1379,0.0021000000000000046,True
2446,82.92159999999994,40.870099999999994,40.933238196765494,4.053385972976685,0.0653,0.0613,0.1266,0.003999999999999997,True
5924,56.79059999999994,34.32640000000001,34.32640543414058,4.124020338058472,0.0721,0.0779,0.15,0.0058,True
8881,71.1092,38.824099999999994,38.824097694081466,4.87321400642395,0.0745,0.0702,0.1447,0.004299999999999998,True
6634,70.50549999999996,42.4856,42.582710548523195,4.0705201625823975,0.0683,0.0668,0.1351,0.0015000000000000013,True
3097,64.95219999999998,38.9576,38.63116267942585,3.3765830993652344,0.0823,0.0836,0.1659,0.0012999999999999956,True
1211,70.1407999999999,44.65390000000001,44.65386541786744,3.908683061599731,0.0716,0.0615,0.1331,0.010099999999999998,True
1921,80.76190000000027,36.85679999999999,37.12207175368139,4.421458959579468,0.0691,0.0633,0.1324,0.0058,True
2740,77.3385,48.18989999999998,48.18986009673517,5.055370092391968,0.0692,0.07,0.1392,0.000800000000000009,True
3306,72.1305,37.27819999999999,34.94365525114156,3.590804100036621,0.0745,0.0693,0.1438,0.005199999999999996,True
4366,64.82589999999993,45.453700000000005,45.49535621100917,4.5171098709106445,0.0658,0.0686,0.1344,0.002799999999999997,True
5455,84.50709999999992,44.2377,41.44193639921722,6.219727277755737,0.0724,0.0915,0.1639,0.019099999999999992,True
9095,80.28889999999994,38.3587,37.843457401812685,4.672292947769165,0.0683,0.0608,0.1291,0.0075,True
8562,104.58220000000009,37.4845,38.418647584973165,4.854115724563599,0.0771,0.0877,0.1648,0.010599999999999998,True
9815,46.7636,39.9907,39.99068450704226,3.972537040710449,0.0768,0.0727,0.1495,0.0040999999999999925,True
1466,95.56389999999996,42.38320000000001,42.72615816993464,4.05919885635376,0.0681,0.0721,0.1402,0.0040000000000000036,True
8480,95.58989999999989,35.624500000000005,35.52018277496274,4.499121904373169,0.0819,0.0942,0.1761,0.012300000000000005,True
3792,78.64519999999996,46.48550000000001,42.21121327566403,4.777897119522095,0.0743,0.0784,0.1527,0.0040999999999999925,True
4697,65.04879999999999,40.338,40.1045604774536,3.7197208404541016,0.0749,0.0714,0.1463,0.0034999999999999892,True
1565,65.38840000000006,45.0782,45.07822988133765,4.0401880741119385,0.0761,0.0635,0.1396,0.0126,True
5891,101.2443,45.32129999999999,44.01659147368421,3.687144041061402,0.0747,0.0916,0.1663,0.0169,True
8308,87.8298000000001,41.194,42.7871917728853,3.817025899887085,0.0662,0.0793,0.1455,0.0131,True
4257,83.23290000000009,39.74849999999999,39.97374566501241,4.4023120403289795,0.0698,0.0722,0.142,0.0023999999999999994,True
5733,73.48710000000007,40.07339999999999,39.04712972551191,3.992003917694092,0.0678,0.0789,0.1467,0.011099999999999999,True
2946,68.20749999999995,36.2326,36.2326119873817,4.011224746704102,0.0781,0.0715,0.1496,0.006600000000000009,True
