seed,HEFT,DHEFT,NHEFT,time_sec,CCR_data,IDR_image,NCCR_total,CCR_IDR_abs_diff,b5_match
6347,240.78800000000024,49.0678,42.75569506726458,3.2633373737335205,0.5409,0.5253,1.0662,0.015600000000000058,True
7536,243.83539999999968,50.644400000000005,41.43566617600992,3.829970121383667,0.4892,0.4553,0.9445,0.03390000000000004,False
4078,219.22469999999976,60.280200000000015,44.31067991120977,2.9699881076812744,0.4665,0.3244,0.7909,0.1421,False
4726,268.9538999999995,59.1126,47.17069999999999,3.847343683242798,0.5686,0.5723,1.1409,0.0037000000000000366,True
5978,339.08889999999974,68.2325,58.744153687315645,4.457305192947388,0.5092,0.4387,0.9479,0.07050000000000001,False
8836,220.52000000000027,52.93810000000001,41.70481183606558,4.198746204376221,0.4891,0.472,0.9611,0.017100000000000004,False
3380,268.6405999999999,58.35290000000001,53.10528345323742,3.828370332717895,0.5464,0.5239,1.0703,0.022499999999999964,False
3669,219.54839999999973,53.4659,46.38046666666666,3.393850803375244,0.5009,0.3929,0.8938,0.10799999999999998,False
7882,248.7331000000006,56.5464,49.922,3.7663047313690186,0.5057,0.5034,1.0091,0.0023000000000000798,True
2503,245.16839999999968,48.4389,41.59658062674962,3.46715784072876,0.5594,0.5616,1.121,0.0021999999999999797,True
5802,278.04350000000005,67.0343,57.66431887477315,3.363478183746338,0.4714,0.4148,0.8862,0.056599999999999984,False
6455,416.64910000000026,65.47880000000002,47.84047581227437,4.415066957473755,0.4655,0.3977,0.8632,0.06780000000000003,False
5608,293.30780000000044,62.39540000000001,57.8971729393055,3.636122941970825,0.4483,0.4649,0.9132,0.016600000000000004,False
8258,244.51550000000037,59.19339999999999,56.28843874319067,4.103704214096069,0.4943,0.5659,1.0602,0.07159999999999994,False
7486,183.09419999999997,56.05270000000001,55.553207174887895,3.8772826194763184,0.5232,0.5096,1.0328,0.013599999999999945,True
1839,195.9202,44.0686,42.45652987012988,3.056447982788086,0.509,0.3622,0.8712,0.14679999999999999,False
3282,360.1897000000002,48.02909999999998,47.17027175572518,3.923929929733277,0.4891,0.3814,0.8705,0.10769999999999996,False
3216,216.3827999999996,54.5984,43.60188756523277,4.235459804534912,0.4677,0.4517,0.9194,0.016000000000000014,False
9034,275.0804000000005,58.520500000000006,41.49698180525354,2.7683379650115967,0.5317,0.4283,0.96,0.10339999999999994,False
7143,198.54629999999963,51.4006,44.04185359306047,3.2191219329833984,0.4985,0.4212,0.9197,0.07729999999999998,False
2446,329.91429999999974,59.9679,50.9459635,3.657339096069336,0.4649,0.3823,0.8472,0.0826,False
5924,191.29299999999992,44.37920000000001,41.05887142857144,3.215311050415039,0.5138,0.4843,0.9981,0.029500000000000026,False
8881,241.3716000000003,57.49220000000002,47.64361032901253,4.23061203956604,0.5306,0.4351,0.9657,0.09549999999999997,False
6634,256.14350000000076,59.278499999999994,52.861178533094815,3.762018203735352,0.4866,0.4137,0.9003,0.07289999999999996,False
3097,240.1526,55.584399999999995,45.2151812886143,3.031661033630371,0.5869,0.5191,1.106,0.06779999999999997,False
1211,208.18780000000012,55.22829999999999,46.83718202473896,3.6294968128204346,0.5101,0.381,0.8911,0.1291,False
1921,448.3018999999985,66.4391,51.529106827309235,4.091891050338745,0.492,0.3931,0.8851,0.09889999999999999,False
2740,308.22289999999964,61.85069999999999,60.374586527862824,4.4132890701293945,0.4929,0.4363,0.9292,0.056599999999999984,False
3306,284.8525999999999,57.6711,44.6983037037037,3.555819034576416,0.5309,0.4317,0.9626,0.09920000000000007,False
4366,195.8262999999997,59.9323,56.01608440039701,4.180853843688965,0.4684,0.4261,0.8945,0.042300000000000004,False
5455,238.83880000000056,56.2913,51.46297178549665,4.749572038650513,0.516,0.5703,1.0863,0.054300000000000015,False
